Index,Filename,Number of Pages,Size (KB),First Page Content Summary
1,CDA_1级知识点汇总.pdf,37,30935.60,"📕
CDA 1级知识点汇总
第⼀章：数据分析思维
⾼度概括当前及未来社会的商业环境特征词汇：
VUCA
Volatility;Uncertainty;Complexity;Ambiguity
指对客观"
2,Finance group project.pdf,9,939.62,"Exchange Rate Project
Testing Exchange Rate Theories: PPP and MAER
MARK TSUN YIN (4300680)
ORTIZ PAR"
3,Individual assignment.pdf,4,1397.93,[No text extracted]
4,International Business Mgt(1).pdf,41,9300.58,"PLANNING Business
The Complete Journey:
Navigating High Value & High Complexity
Presented by: Seraph"
5,LawFlaw AI使用手册.pdf,4,17807.67,"智能合规系统使⽤⼿册
LawFlaw AI
*⽂档版本：V1.3
*更新⽇期：2025年11⽉16⽇
LawFlow AI 是⾯向涉外法律实务领域的智能合规问答与合同审
核平台，服务于企业、法律从业者"
6,从交易中介到多层级供应链服务商：中国钢铁贸易产业转型升级研究(2).pdf,21,2037.82,[No text extracted]
7,北京密云区农产品产销合作调研报告.pdf,91,6400.63,[No text extracted]
8,国际商务分析temu案例节选.pdf,14,2141.72,"Chapter 4 Theoretical Foundation
4.1 Overall Analytical Framework: ""Diagnostic"" Three-Layer Perspect"
9,小民快跑ppt.pdf,20,5914.95,"中央民族大学第三届“经创杯”
校园拼车出行新模式
经创杯 小民快跑队"
10,本科创意组-新文科-巧愿·学者芸窗：以文化书吧实体IP赋能文娱社交app的运营创业实践(1).pdf,27,19902.00,"⻘年创意孵化 × 社区服务 × 银发经济
窗
芸
者
学
·
愿
巧
巧愿·
学者芸窗
以⽂化书吧实体IP赋能⽂娱社交app的运营创业实践
中国传媒⼤学、中央⺠族⼤学"
11,烽智安新——全场景具身智能消防机器人系统.pdf,26,3896.42,"第十六届全国大学生电子商务“创新、创意、创业”挑战赛作品
城市末端消防“最后一公里”守护者
焱盾智创（中央民族大学）"
12,特高压输电ppt.pdf,12,65619.60,"能源新基建对生产性服务业
精准赋能效应研究:
基于特高压工程与数字化依赖的视角
数字化依赖 特高压输电工程 能源新基建 生产性服务业 能源-算力融合
答辩/主撰稿人：史心怡
24级国际经济与贸易"
13,特高压输电论文.pdf,25,2326.97,"Energy-Computing Synergy: How UHV Projects and Digital
Dependence Empower Producer Services
YuequnCa"
